when,item,dial,range,rel,reading,unit,derived,note
,r_eis_load_board,ohm,600.0,on,100.4,ohm,100.000,"round 2 step 1. Board's R_EIS_LOAD, Yageo RT0603BRB07100RL, 100 ohm 0.1 pct. Taken as the calibration artefact: true value 100.000 +/- 0.100. DMM therefore reads +0.40 pct high at this point, correction factor k = 0.99602 applied to every reading below."
,r_sense_loose,ohm,600.0,on,99.0,ohm,98.61,"THE SENSE RESISTOR. 99.0 x k = 98.61 ohm. Put R_SENSE = 98.61 in the sketch, not 100. Uncertainty inherited from the board artefact, +/- 0.1 pct. Mark this physical resistor and use the same one every session."
,bank_d2,ohm,60.00k,on,10000,ohm,9960,"bank branch on D2. Nominal 10 k. Value does not need to be accurate, every sweep point measures its own current."
,bank_d3,ohm,6.000k,on,5030,ohm,5010,"bank branch on D3. Nominal 5.1 k, 1.8 pct low. No action."
,bank_d4,ohm,6.000k,on,1970,ohm,1962,"bank branch on D4. Nominal 2 k, 1.9 pct low. No action."
,bank_d5,ohm,6.000k,on,1000,ohm,996,"bank branch on D5. Nominal 1 k. No action."
,bank_d6,ohm,600.0,on,333.1,ohm,331.8,"bank branch on D6. Nominal 330. No action."
,bank_d7,ohm,600.0,on,219.0,ohm,218.1,"bank branch on D7. Nominal 220. No action."
,r_leak_100k,ohm,600.0k,on,98400,ohm,98008,"step 6 reverse-leakage sense resistor. IT IS USED: step 6 wires UNO 5V through it into the die cathode and reads mV across it. Use 98.0 k when converting mV to leakage current, so 1 uA reads 98 mV."
,port_budget_check,,,,,,,"computed from the measured bank plus 25 ohm pin output impedance, against R_SENSE 98.61. All six branches on: 14.05 mA total on a red channel, 9.36 mA on blue, against the 30 mA Port D limit. Largest single branch 6.64 mA against the 40 mA pin limit. Comfortable, no change needed."
,resolution_flag,ohm,600.0,on,99.0,ohm,98.61,"CLOSED. Operator re-read and confirmed 99.0 on the 600.0 ohm range, tenths digit included. R_SENSE = 98.61 ohm stands, uncertainty +/- 0.1 pct inherited from the board's R_EIS_LOAD artefact. Step 1 complete."
,vcc_rail_idle,V,auto,off,5.034,V,5.034,"round 2 step 2. Red on UNO 5V pin, black on GND, USB plugged in, rig not sweeping. Put VCC = 5.034 in the sketch. NOT corrected by the 0.99602 resistance factor: that factor was derived from a resistance artefact and does not transfer to the DC volts function, which has its own calibration. Absolute accuracy is therefore the DMM's DC V spec, about 0.5 pct. Pure gain error on every voltage and hence on R_s, common to all samples, cancels in the between-sample comparison."
,vcc_rail_loaded,V,auto,off,,V,,"OPEN: second half of step 2, not yet taken. Same probes, read again while the rig sweeps at full current (all six branches on, about 14.05 mA red). Sag = 5.034 minus this reading. Sag / 0.01405 = the USB path resistance."
,vcc_sag_sensitivity,,,,,,,"AVCC is the ADC reference, so rail sag is current-dependent gain error, which lands on R_s and does not cancel within a sweep. Apparent extra R_s = R_usb x V_F / VCC. 2 mV sag = 0.06 ohm, 10 mV = 0.28 ohm, 20 mV = 0.57 ohm, 40 mV = 1.13 ohm. It IS common to all samples provided the same cable, port and computer are used every session, so log this reading each session and treat a change in it as a session-level offset."
,adc_resolution,,,,,,,"at VCC 5.034 and 256x oversampling: 0.3073 mV effective LSB, 3.12 uA current resolution against R_SENSE 98.61."
,step3_verify_FAILED,,,,,,,"Round 2 step 3, 100 ohm dummy in place of a die, 63 levels captured. Raw file FINAL_MEASUREMENTS/data/R2_sweeps/verify_100R_step3_FAILED.csv. Fit gave slope 99.32 ohm but with a +13.79 mV intercept and 2.16 mV rms residual. A pure resistor must fit through the origin, so the rig FAILED verification. Two independent faults found, neither of them the resistor."
,fault1_adc_offset,,,,,,,"FAULT 1. All three ADC channels read low by a common 10 +/- 2 mV (about 2 counts). Proven two ways: (a) the current deficit versus theory is a constant 11-14 mV across a 30x current range, which is additive not multiplicative; (b) only an offset near 10 mV makes the AVR pin HIGH voltage come out below 5.034 V and falling with current, as it physically must. Independent of ADC prescaler (/32, /64, /128) and of discarding a conversion after each mux change, so it is neither clock speed nor mux settling. It CANCELS in v_die, which is a difference of two channels, but NOT in the current, which is an absolute voltage. Error on i is 26 pct at the bottom of the sweep and 1 pct at the top. Diagnostic matrix in FINAL_MEASUREMENTS/data/R2_sweeps/adc_diag_prescaler_discard.csv."
,fault2_return_link,,,,,,,"FAULT 2. A0 and A2 are the same breadboard node by design and must read identically. A0 reads high by an amount strictly proportional to current: 2.9 +/- 0.2 ohm between the two taps, stable over levels 2 to 32. That is contact resistance in the E4-E8 link jumper or its breadboard sockets. It happens to sit outside both the v_die loop and the current tap so it does not corrupt R_s in this topology, but 2.9 ohm is 30x the bond resistances being measured and it is a flaky joint. Reseat it."
,fix_differential_current,,,,,,,"FIX for fault 1: measure the sense resistor differentially. Add one jumper from UNO A3 to the GND rail and compute i = (v_A2 - v_A3)/R_SENSE. The ADC offset is common to both channels so it subtracts out exactly, which is precisely why v_die was already unaffected. It also removes the IR drop in the single GND jumper from the current measurement. Requires one extra male-male jumper, a sketch change, and a redraw."
,s1_D6_R_open_confirmed,,,,,,,"Round 2 step 5. Board 1 D6 red draws no current: i_max 0.146 mA (which is only the 14.4 mV ADC offset over R_SENSE, i.e. zero) and v_die pinned at 5.00 V, the open-circuit signature. This CONFIRMS round 1, where R1_channels.csv already recorded board 1 D6 R as OL, verdict open, while D6 G and B passed at 2.248 and 2.523 V. Two independent instruments, DMM and I-V rig, agree. File kept as s1_D6_R_seat1_OPEN.csv. Not a wiring fault and not a bad capture. R_s is undefined for this channel; exclude it from the fits and count it as an open-junction defect."
