sample,die,channel,pin_cathode,pin_anode,v_die_V,shunt_ohm,verdict,note
1,D1,R,1,2,4.988,>1.0e7,healthy,"baseline. Divider: 5.034 V through 98.0 k into the die, DMM 10 M across the die. 4.988 V implies 10.6 Mohm parallel at the node, which is the meter's own input impedance, so the die is effectively open. Leakage below ~50 nA. Method is go/no-go for shunts below ~10 Mohm; it cannot grade healthy dies."
1,D2,R,5,6,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 1 red read 4.988 or 4.989. At the meter's 10 Mohm input impedance this is the open-die limit, so shunt > 10 Mohm and leakage below ~50 nA on all six."
1,D3,R,9,10,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 1 red read 4.988 or 4.989. At the meter's 10 Mohm input impedance this is the open-die limit, so shunt > 10 Mohm and leakage below ~50 nA on all six."
1,D4,R,13,14,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 1 red read 4.988 or 4.989. At the meter's 10 Mohm input impedance this is the open-die limit, so shunt > 10 Mohm and leakage below ~50 nA on all six."
1,D7,R,25,26,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 1 red read 4.988 or 4.989. At the meter's 10 Mohm input impedance this is the open-die limit, so shunt > 10 Mohm and leakage below ~50 nA on all six."
1,D8,R,29,30,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 1 red read 4.988 or 4.989. At the meter's 10 Mohm input impedance this is the open-die limit, so shunt > 10 Mohm and leakage below ~50 nA on all six."
2,D2,R,5,6,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 2 red read the same as board 1, 4.988 to 4.989. Open-die limit, shunt > 10 Mohm, leakage below ~50 nA."
2,D3,R,9,10,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 2 red read the same as board 1, 4.988 to 4.989. Open-die limit, shunt > 10 Mohm, leakage below ~50 nA."
2,D4,R,13,14,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 2 red read the same as board 1, 4.988 to 4.989. Open-die limit, shunt > 10 Mohm, leakage below ~50 nA."
2,D5,R,17,18,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 2 red read the same as board 1, 4.988 to 4.989. Open-die limit, shunt > 10 Mohm, leakage below ~50 nA."
2,D8,R,29,30,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states every board 2 red read the same as board 1, 4.988 to 4.989. Open-die limit, shunt > 10 Mohm, leakage below ~50 nA."
3,D1,R,1,2,0.085,1.7e3,shunt,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
3,D2,R,5,6,0.0,<1e2,short,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
